Arkansas
Ubangi
Syrdarja
Dnepr
Paraguay
Columbia River
Don
Petschora
Uruguay
Chatanga
Argun
Lomami
Tobol
Casai
Oka
Amudarja
Kura
Rhein
Tshuapa
Cuango
