St. Lorenzstrom
Elbe
Pjandsh
Weichsel
Onon
Western Dwina
Loire
Cuilo
Karun
Busira
Rhone
Seine
Rio Balsas
Northern Dwina
Ruki
Ingoda
Bija
Kleiner Jenissej
Black Irtysch
Connecticut River
