Amazonas
Jangtse-Kiang
Parana
Mekong
Lena
Zaire
Irtysch
Jenissej
Mississippi
Missouri
Ob
Volga
Rio Grande
Amur
Donau
Orinoco
Colorado
Kolyma
Ischim
Ural
