Garonne
Grosser Jenissej
Gloma
Jug
Suchona
Schilka
Uelle
Sanga
Kemijoki
Dalaelv
Hudson River
Weser
Moldau
Torneaelv
Klaraelv
Thames
Katun
Rio de la Plata
Werra
Bomu
